id,project_name,lon,lat,laccPriority,Population,-- URBAN WATER SOURCES --,Groundwater (%),Surface Water (%),Desalination/Other (%),-- WATER QUANTITY RISK --,Annual Water Stress Category,Annual Water Stress Index,Seasonal Water Stress Category,Seasonal Water Stress Index,-- WATER QUALITY RISK --,Annual Phosphorous Yield Category,Annual Phosphorous Yield (kg/km^2),Annual Sediment Yield Category,Annual Sediment Yield (tons/km^2),-- WATER QUALITY OPPORTUNITY --,Return on Investment Category,Return on Investment,Forest Protection: Phosphorous Category,Forest Protection: Phosphorous,Forest Protection: Sediment Category,Forest Protection: Sediment,Reforestation: Phosphorous Category,Reforestation: Phosphorous,Reforestation: Sediment Category,Reforestation: Sediment,Riparian Restoration: Phosphorous Category,Riparian Restoration: Phosphorous,Riparian Reforestation: Sediment Category,Riparian Restoration: Sediment,-- FLOOD MITIGATION --,Riverine Flood Mitigation City Ranking Category,Riverine Flood Mitigation City Ranking,Urban Population Exposed to Riverine Flooding,Biophysical Opportunity to Mitigate Riverine Flooding,Stormwater Flood Mitigation City Ranking,default
A_select_kludge,-- Select Project --,-37.0533981,-10.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
city03,Barcelona,-64.680603,10.14,No,272690,0,0,100,0,0,Not Stressed,0.082,Stressed,1,0,High,0.63,High,1065,0,High,44.531,Medium Potential,79.4,Medium Potential,61,High Potential,0.2,Insufficient Scope,-0.01,High Potential,2.36,High Potential,0.2,0,Medium,35,235906,2.39,47,1
city04,Barquisimeto,-69.4063034,10.07,Priority,1365458,0,25,75,0,0,Not Stressed,0.194,Stressed,1,0,High,23.26,High,2355,0,High,2.802,Insufficient Scope,-0.01,Low Potential,231.1,High Potential,2.3,Insufficient Scope,-0.01,High Potential,2.55,Insufficient Scope,-0.01,0,High,25,23738,2.53,28,1
city06,Belém,-48.3843002,-1.39,No,2199552,0,25,75,0,0,Not Stressed,0.01,Not Stressed,0.046163366,0,High,5.01,Low,20,0,High,20.821,Insufficient Scope,-0.01,Insufficient Scope,-0.01,Insufficient Scope,-0.01,High Potential,0.36,Low Potential,121.17,Low Potential,105.8,0,Low to None,59,381572,2.21,29,1
city10,Bucaramanga,-73.1183014,7.09,Priority,1231948,0,0,100,0,0,Not Stressed,0.002,Stressed,1,0,High,1.27,High,887,0,High,100.096,Insufficient Scope,-0.01,Low Potential,129.9,High Potential,0.6,Insufficient Scope,-0.01,High Potential,2.04,High Potential,0.1,0,Very High,10,12847,3.28,41,1
city11,Buenos Aires,-58.3917999,-34.59,No,14150653,0,4,96,0,0,Not Stressed,0.334,Not Stressed,0.002946618,0,Low,0.01,Medium,138,0,Low,0.009,Insufficient Scope,-0.01,Insufficient Scope,-0.01,Insufficient Scope,-0.01,Insufficient Scope,-0.01,Low Potential,7911.56,Low Potential,1795.3,0,Low ,43,1670263,2.3,52,1
city12,Cali,-76.5230026,3.45,No,2665415,0,0,100,0,0,Not Stressed,0.03,Not Stressed,0.157714329,0,High,0.85,High,7158,0,Low,0.083,Insufficient Scope,-0.01,Insufficient Scope,-0.01,Low Potential,340.2,Insufficient Scope,-0.01,Low Potential,481.85,Low Potential,195.7,0,High,22,156112,2.59,9,1
city16,Concepción,-73.0501022,-36.82,No,823065,0,47,53,0,0,Not Stressed,0.048,Stressed,0.757067083,0,Medium,0.03,High,1710,0,Low,0.015,Low Potential,786.8,Low Potential,1001.8,Low Potential,1889.3,Insufficient Scope,-0.01,Low Potential,726.13,Insufficient Scope,-0.01,0,Medium,32,681774,2.38,51,1
city22,Goiânia,-49.2874985,-16.71,Priority,2281808,0,25,75,0,0,Not Stressed,0.067,Stressed,1,0,High,0.29,High,550,0,Medium,0.219,Insufficient Scope,-0.01,Insufficient Scope,-0.01,Insufficient Scope,-0.01,Insufficient Scope,-0.01,Low Potential,139.08,Medium Potential,64.3,0,Low ,53,21027,2.22,5,1
city23,Grande Vitória,-40.2980003,-20.3,Priority,1816111,0,0,100,0,0,Stressed,0.462,Stressed,1,0,Medium,0.14,High,533,0,Medium,0.254,Low Potential,570,Low Potential,414.3,Insufficient Scope,-0.01,Insufficient Scope,-0.01,Medium Potential,51.42,Insufficient Scope,-0.01,0,Very High,6,383424,2.82,8,1
