City,NAME,lon,lat,LACC_Status,Population (UNPD 2015 estimate),-- SOURCE WATERSHED --,Groundwater,Surface,Desalination/Other,Annual Stress Category,Annual Stress,Seasonal Stress Category,Seasonal Stress,P Yield Category,PYield_calibrated,Sediment Yield Category,SedYield_calibrated,Return on Investment Category,Return on Investment,ForestProtection_sed_category,loss3_sed_km2_to_10per,ForestProtection_P_category,loss3_P_km2_to_10per,Refor_sed_category,Refor_sed_km2_to_10per,Refor_P_category,Refor_P_km2_to_10per,AgRip_sed_category,AgRip_sed_km2_to_10per,AgRip_P_category,AgRip_P_km2_to_10per,-- RIVERINE FLOOD MITIGATION --,City Rank Category,City Rank for Riverine Flood Mitigation,Urban Population Exposed to  River Flooding,Biophysical Opportunity to Mitigate Flooding,-- STORMWATER FLOOD MITIGATION --,City Rank for Stormwater Flood Mitigation
Aracaju,Aracaju,-37.0533981,-10.9236002,,828768,,25%,75%,0%,Stressed,0.408666667,Not Stressed,0.016813875,High,1.974776566,High,254.0704519,Insufficient Scope,5.17E-08,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,6.536306321,Insufficient Scope,,Insufficient Scope,,,,,,,,
Asunci—n,Asunción,-57.6338997,-25.2884998,,2417403,,0%,100%,0%,Not Stressed,0.001,Not Stressed,0.002462185,Low,0.001202774,Medium,26.15896464,Insufficient Scope,6.63E-08,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,,Low to None,68,4378,2.219526727,,44
Barcelona,Barcelona,-64.680603,10.1447001,,272690,,0%,100%,0%,Not Stressed,0.082,Stressed,1,High,0.630562171,High,1064.660125,High,44.53064447,Medium Potential,61.02828378,Medium Potential,79.43852769,Insufficient Scope,,High Potential,0.227407109,High Potential,0.189736552,High Potential,2.355316186,,Medium,35,235906,2.386496857,,47
Barquisimeto,Barquisimeto,-69.4063034,10.0712004,,1365458,,25%,75%,0%,Not Stressed,0.194333333,Stressed,1,High,23.26307135,High,2355.375619,High,2.80197075,Low Potential,231.0881896,Insufficient Scope,144.4736298,Insufficient Scope,,High Potential,2.277915001,Insufficient Scope,0.065724585,High Potential,2.545281299,,High,25,23738,2.53466789,,28
Barranquilla,Barranquilla,-74.7919998,10.9897003,,2045207,,0%,100%,0%,Not Stressed,0.003,Not Stressed,0.00628393,Low,0.002897943,High,339.3296194,Low,0.002973328,Low Potential,41913.09969,Low Potential,74074.46746,Insufficient Scope,,Low Potential,2472.610458,Low Potential,3766.581789,Insufficient Scope,,,Low ,47,437547,2.325808643,,55
Bel_m,Bel?m,-48.3843002,-1.3913,,2199552,,25%,75%,0%,Not Stressed,0.01,Not Stressed,0.046163366,High,5.014717678,Low,20.17850353,High,20.82119194,Insufficient Scope,2472.801465,Insufficient Scope,4683.52309,High Potential,0.357897163,Insufficient Scope,,Low Potential,105.8129682,Low Potential,121.1715262,,Low to None,59,381572,2.209180273,,29
Belo Horizonte,Belo Horizonte,-43.9399986,-19.9255009,,5818829,,0%,100%,0%,Not Stressed,0.139738562,Stressed,1,High,2.976907983,High,756.3959999,Medium,0.248444436,Insufficient Scope,,Insufficient Scope,,Medium Potential,67.07737501,Medium Potential,38.81138468,Insufficient Scope,18.10894052,Insufficient Scope,,,Medium,36,91887,2.387621924,,11
Bogot‡,Bogotá,-74.0777969,4.6170402,,9649723,,0%,100%,0%,Not Stressed,0.01485113,Stressed,1,High,3.375463608,High,298.7259901,High,8.291894233,Medium Potential,12.72556398,Medium Potential,34.83927335,Insufficient Scope,,High Potential,1.312930069,Insufficient Scope,0.398879996,Insufficient Scope,11.82988037,,Low to None,65,26902,2.175134206,,15
Bras’lia,Brasília,-47.911499,-15.7866001,,4248641,,0%,100%,0%,Not Stressed,0.061484288,Stressed,1,High,2.050877847,High,417.5737469,Medium,0.863904784,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Medium Potential,18.91449984,Insufficient Scope,,,Low to None,67,5372,2.221482402,,6
Bucaramanga,Bucaramanga,-73.1183014,7.0929799,,1231948,,0%,100%,0%,Not Stressed,0.002,Stressed,1,High,1.272864152,High,887.0256454,High,100.0957674,Low Potential,129.9043385,Insufficient Scope,,Insufficient Scope,,High Potential,0.629433826,High Potential,0.118160545,High Potential,2.04347118,,Very High,10,12847,3.279169693,,41
