FID_,NAME,City_ID,ISOURBID,WUP_code,POINT_X,POINT_Y,lon,lat
,Concepción,485,CHL66984,205346,-73.050053193500005,-36.815314354000002,-73.0501022,-36.8153000
,Montevideo,123,URY66693,23193,-56.167089262200001,-34.869120690800003,-56.1670990,-34.8690987
,Buenos Aires,16,ARG66611,20058,-58.391778197100003,-34.590853987999999,-58.3917999,-34.5909004
,Santiago,19,CHL66311,20439,-70.653842529900004,-33.450393401200003,-70.6538010,-33.4504013
,Córdoba,508,ARG65859,20059,-64.184471134500001,-31.412918398500000,-64.1845016,-31.4129009
,Pôrto Alegre,205,BRA65571,20264,-51.221730755199999,-30.032054660099998,-51.2216988,-30.0321007
,Florianópolis,502,BRA65028,20209,-48.593071632600001,-27.590358786600000,-48.5931015,-27.5904007
,Asunción,247,PRY64439,22065,-57.633861898299998,-25.288539484800001,-57.6338997,-25.2884998
,São Paulo,14,BRA63810,20287,-46.643739066599998,-23.580639042900000,-46.6436996,-23.5806007
,Rio de Janeiro,18,BRA63739,20272,-43.194198608599997,-22.913385709899998,-43.1941986,-22.9134007
,Belo Horizonte,197,BRA62847,20183,-43.939986398300000,-19.925482463800002,-43.9399986,-19.9255009
,La Paz,261,BOL62313,20153,-68.151656269900002,-16.505572455999999,-68.1517029,-16.5056000
,Brasília,199,BRA62137,20187,-47.911453941100000,-15.786600005900000,-47.9114990,-15.7866001
,Salvador,198,BRA61497,20275,-38.511301554299997,-12.980225350200000,-38.5112991,-12.9801998
,Lima,113,PER61325,22078,-77.061080978400000,-12.082876415099999,-77.0610962,-12.0829000
,Aracaju,490,BRA61079,20174,-37.053352832599998,-10.923633571300000,-37.0533981,-10.9236002
,Recife,200,BRA60389,20268,-34.889706975300001,-8.056303469890001,-34.8897018,-8.0563002
,Teresina,500,BRA59312,20296,-42.815487016600002,-5.088726022120000,-42.8154984,-5.0887299
,Fortaleza,201,BRA58963,20210,-38.526494206800002,-3.728724435080000,-38.5265007,-3.7287199
,Guayaquil,24,ECU58523,20903,-79.906191542900004,-2.203413407340000,-79.9061966,-2.2034099
,Quito,479,ECU58184,20910,-78.497388434100003,-0.199823206799000,-78.4973984,-0.1998230
,Cali,477,COL57639,20812,-76.522971710999997,3.448457986980000,-76.5230026,3.4484601
,Bogotá,22,COL57437,20837,-74.077812317300001,4.617037993800000,-74.0777969,4.6170402
,Medellín,217,COL57051,20827,-75.574678977700003,6.247609535560000,-75.5746994,6.2476101
,Panama,504,PAN56226,22063,-79.536851935599998,8.964039113380000,-79.5367966,8.9640398
,San José,147,CRI55866,20861,-84.076931223599999,9.928680051140001,-84.0768967,9.9286804
,Maracay,503,VEN55665,23227,-67.594759959699999,10.242779095100000,-67.5948029,10.2427998
,Caracas,119,VEN55665,23217,-66.908345126900002,10.504066182200001,-66.9083023,10.5040998
,Barranquilla,478,COL55516,20808,-74.792008255100001,10.989714185100000,-74.7919998,10.9897003
,Managua,268,NIC55162,21967,-86.258766048900000,12.148492629600000,-86.2587967,12.1485004
,Tegucigalpa,150,HND54601,21136,-87.201068956900002,14.099712332999999,-87.2011032,14.0997000
,San Juan,240,PRI52615,22177,-66.058453695400004,18.411964214400001,-66.0585022,18.4120007
,Santo Domingo,245,DOM52565,20898,-69.911474031899999,18.484115905300001,-69.9114990,18.4841003
,México City,37,MEX51793,21853,-99.131237558099997,19.414971885000000,-99.1312027,19.4150009
,Guadalajara,212,MEX51276,21841,-103.350041563999990,20.676302508500001,-103.3499985,20.6763000
,León,480,MEX51026,21847,-101.677064964000000,21.125267101799999,-101.6770020,21.1252995
,Havana,246,CUB90005,20870,-82.379829630499998,23.127565104199999,-82.3797989,23.1275997
,Monterrey,214,MEX47876,21855,-100.306537324999990,25.696390006300000,-100.3069992,25.6963997
,Manaus,514,BRA58773,20244,-59.968872070300002,-3.069114739760000,-59.9688988,-3.0691099
,Maracaibo,529,VEN55551,23226,-71.759727478000002,10.676686837200000,-71.7596970,10.6766996
,Barquisimeto,546,VEN55752,23215,-69.406255722200001,10.071162700500000,-69.4063034,10.0712004
,Ciudad Guayana,531,VEN56520,0,-62.578210796199997,8.301739483380001,-62.5782013,8.3017397
,Rosario,515,ARG66197,20075,-60.683681487999998,-32.991835447699998,-60.6837006,-32.9917984
,Santa Cruz,516,BOL62526,20157,-63.157024393999997,-17.791227543700000,-63.1570015,-17.7912006
